imdb_title_id,title,year,genre,duration,country,director,production_company,budget,total_votes,median_vote,all18to29,all30to44,allover45,males,males18to29,males30to44,malesover45,females,females18to29,females30to44,femalesover45,rating_class
tt0209163,The Mummy Returns,2001,Action,130,USA,Stephen Sommers,Universal Pictures,98000000,288134,7.0,6.5,6.2,6.4,6.3,6.4,6.2,6.3,6.7,6.8,6.6,6.8,Good
tt0210075,Girlfight,2000,Drama,110,USA,Karyn Kusama,Green/Renzi,1000000,9062,7.0,6.8,6.7,6.6,6.6,6.6,6.5,6.6,7.1,7.2,7.1,6.9,Good
tt0210094,Happy Campers,2001,Comedy,94,USA,Daniel Waters,DiNovi Pictures,15000000,2538,6.0,5.9,5.5,5.2,5.4,5.7,5.5,5.1,5.8,6.4,5.6,5.8,Good
tt0210223,Legend of the Phantom Rider,2002,Action,100,USA,Alex Erkiletian,Rolle's Range Farm Productions,1600000,191,6.0,5.3,5.2,4.6,4.9,5.5,5.3,4.6,3.7,5.0,4.0,3.0,Good
tt0210299,Songcatcher,2000,Drama,109,USA,Maggie Greenwald,ErgoArts,1800000,3095,8.0,7.0,6.9,7.4,7.0,6.4,6.7,7.2,7.6,7.7,7.3,7.9,Excellent
tt0210616,Center Stage,2000,Drama,115,USA,Nicholas Hytner,Columbia Pictures,29000000,17770,7.0,6.8,6.6,6.4,6.0,6.1,5.9,6.1,7.1,7.0,7.1,7.0,Good
tt0210945,Remember the Titans,2000,Biography,113,USA,Boaz Yakin,Jerry Bruckheimer Films,30000000,187326,8.0,7.9,7.7,7.5,7.7,7.9,7.7,7.5,8.0,8.1,7.9,7.9,Excellent
tt0210953,Road Dogz,2002,Crime,91,USA,Alfredo Ramos,Shooting Star Pictures,200000,231,6.0,6.5,5.7,5.4,5.5,6.6,5.6,5.2,6.0,7.0,6.4,6.5,Good
tt0211661,Terror Tract,2000,Comedy,96,USA,Lance W. Dreesen,Giant Leap Entertainment,1000000,1589,6.0,5.9,6.1,6.1,6.0,6.1,6.0,5.9,6.2,5.3,6.1,6.8,Good
tt0211933,Awake,2007,Crime,84,USA,Joby Harold,The Weinstein Company,8600000,70300,7.0,6.7,6.5,6.3,6.5,6.6,6.5,6.3,6.7,6.9,6.6,6.3,Good
tt0212338,Meet the Parents,2000,Comedy,108,USA,Jay Roach,Universal Pictures,55000000,296907,7.0,7.0,7.0,6.9,7.0,7.0,7.0,6.9,6.8,6.8,6.8,6.9,Good
tt0212346,Miss Congeniality,2000,Action,109,USA,Donald Petrie,Castle Rock Entertainment,45000000,174074,6.0,6.4,6.0,6.3,5.9,6.0,5.8,6.2,6.8,6.8,6.7,6.9,Good
tt0212879,Citizen Toxie: The Toxic Avenger IV,2000,Action,109,USA,Lloyd Kaufman,Cineguild Entertainment Group,500000,4888,7.0,6.3,6.3,5.5,6.2,6.3,6.3,5.5,5.9,6.1,5.7,5.7,Good
tt0212974,Groove,2000,Drama,86,USA,Greg Harrison,415 Productions,500000,3892,7.0,6.5,6.7,6.2,6.6,6.5,6.7,6.1,6.6,6.6,6.6,6.6,Good
tt0213149,Pearl Harbor,2001,Action,183,USA,Michael Bay,Touchstone Pictures,140000000,297604,6.0,6.6,6.0,5.8,6.1,6.5,5.9,5.8,6.8,7.3,6.5,6.3,Good
tt0213446,The Amati Girls,2000,Drama,91,USA,Anne De Salvo,Fox Family Channel,6000000,323,4.0,3.6,4.9,5.6,4.7,2.8,4.5,5.1,6.7,5.5,7.1,6.6,Bad
tt0213790,The Ladies Man,2000,Comedy,84,USA,Reginald Hudlin,Broadway Pictures,24000000,12009,5.0,5.4,5.2,4.8,5.2,5.4,5.3,4.8,4.8,5.0,4.8,4.9,Good
tt0214277,Very Mean Men,2000,Comedy,93,USA,Tony Vitale,Baio / White Productions,4500000,142,7.0,6.4,6.2,5.1,5.8,7.0,6.2,5.4,5.7,6.2,7.8,1.0,Good
tt0214757,Held for Ransom,2000,Thriller,88,USA,Lee Stanley,Emmett/Furla/Oasis Films (EFO Films),5000000,440,5.0,5.9,4.2,5.0,4.7,5.8,4.2,5.1,4.2,8.5,3.9,4.5,Good
tt0215129,Road Trip,2000,Adventure,93,USA,Todd Phillips,DreamWorks,16000000,150786,7.0,6.5,6.5,6.2,6.5,6.5,6.5,6.2,6.0,6.1,5.9,6.0,Good
tt0215135,Route 666,2001,Action,86,USA,William Wesley,Lions Gate Films,2300000,2999,4.0,4.4,4.3,4.5,4.3,4.4,4.3,4.5,4.8,4.7,4.8,4.9,Bad
tt0215545,Bamboozled,2000,Comedy,135,USA,Spike Lee,New Line Cinema,10000000,9651,7.0,6.6,6.5,6.2,6.4,6.6,6.5,6.2,6.7,6.7,6.8,6.4,Good
tt0216772,Turn It Up,2000,Crime,86,USA,Robert Adetuyi,MadGuy Films,13000000,1103,4.0,4.7,4.1,4.0,4.2,4.8,4.1,3.9,4.5,3.7,4.4,5.5,Bad
tt0217031,Second to Die,2002,Thriller,89,USA,Brad Marlowe,"Second to Die, L.P.",2000000,306,5.0,8.7,5.7,5.1,5.2,6.9,5.4,4.9,7.4,9.7,6.9,5.8,Good
tt0217107,Trois,2000,Romance,93,USA,Rob Hardy,Rainforest Films,200000,576,4.0,4.2,3.8,4.3,3.9,3.7,3.6,4.3,4.7,4.7,4.6,4.4,Bad
tt0217630,Loser,2000,Comedy,98,USA,Amy Heckerling,Branti Film Productions,20000000,25660,5.0,5.7,5.2,5.2,5.3,5.7,5.1,5.2,5.4,5.7,5.3,5.5,Good
tt0217756,Ready to Rumble,2000,Comedy,107,USA,Brian Robbins,Bel Air Entertainment,24000000,13065,6.0,5.9,5.3,5.0,5.4,5.9,5.3,5.0,5.4,5.8,5.2,5.3,Good
tt0217869,Unbreakable,2000,Drama,106,USA,M. Night Shyamalan,Touchstone Pictures,75000000,364522,7.0,7.4,7.2,7.2,7.3,7.4,7.3,7.2,7.0,7.1,7.0,7.1,Good
tt0218182,An Everlasting Piece,2000,Comedy,103,USA,Barry Levinson,Baltimore Spring Creek Productions,14000000,1517,7.0,6.6,6.3,6.3,6.2,6.5,6.2,6.2,7.1,7.0,7.1,6.9,Good
tt0218619,Soul Survivors,2001,Horror,84,USA,Stephen Carpenter,Lost Soul Productions,17000000,7991,4.0,4.0,3.8,4.1,3.8,3.7,3.7,4.0,4.4,4.4,4.4,4.6,Bad
tt0218625,The St. Francisville Experiment,2000,Horror,79,USA,Ted Nicolaou,The Kushner-Locke Company,250000,1445,4.0,4.2,4.3,4.0,4.1,4.2,4.2,3.9,4.3,4.4,4.6,4.2,Bad
tt0218817,Antitrust,2001,Action,105,USA,Peter Howitt,Metro-Goldwyn-Mayer (MGM),30000000,27685,6.0,6.2,6.1,6.0,6.1,6.2,6.1,6.0,6.2,6.2,6.1,6.4,Good
tt0218839,Best in Show,2000,Comedy,90,USA,Christopher Guest,Castle Rock Entertainment,10000000,51954,8.0,7.4,7.4,7.5,7.4,7.4,7.4,7.4,7.5,7.3,7.5,7.8,Excellent
tt0218967,The Family Man,2000,Comedy,125,USA,Brett Ratner,Universal Pictures,60000000,98243,7.0,6.8,6.7,6.8,6.8,6.9,6.7,6.7,6.7,6.7,6.6,6.9,Good
tt0219636,Dancing in September,2000,Drama,107,USA,Reggie Rock Bythewood,HBO Films,850000,394,7.0,6.2,6.3,6.0,6.0,6.8,6.3,5.7,6.7,6.5,6.3,7.1,Good
tt0219653,Dracula 2000,2000,Action,99,USA,Patrick Lussier,Dimension Films,54000000,30830,5.0,4.9,4.7,5.1,4.7,4.7,4.6,5.0,5.3,5.3,5.2,5.7,Good
tt0219699,The Gift,2000,Drama,112,USA,Sam Raimi,Lakeshore Entertainment,10000000,59870,7.0,6.6,6.6,6.8,6.6,6.6,6.5,6.8,6.8,6.7,6.8,7.2,Good
tt0219854,The Kid,2000,Comedy,104,USA,Jon Turteltaub,Chester Films Inc.,65000000,38604,6.0,6.2,6.0,6.1,6.0,6.1,5.9,6.0,6.3,6.4,6.2,6.7,Good
tt0219965,Bandits,2001,Comedy,123,USA,Barry Levinson,Metro-Goldwyn-Mayer (MGM),75000000,63044,7.0,6.7,6.5,6.5,6.5,6.7,6.5,6.4,6.7,6.8,6.6,6.8,Good
tt0220100,Timecode,2000,Drama,97,USA,Mike Figgis,Screen Gems,5000000,6276,7.0,6.3,6.2,5.8,6.1,6.3,6.2,5.7,6.1,6.3,6.1,6.0,Good
tt0220506,Halloween: Resurrection,2002,Horror,94,USA,Rick Rosenthal,Dimension Films,13000000,35188,4.0,4.0,4.0,4.2,4.0,3.9,3.9,4.2,4.5,4.4,4.4,4.8,Bad
tt0221027,Blow,2001,Biography,124,USA,Ted Demme,Apostle,53000000,227875,8.0,7.7,7.6,7.2,7.6,7.8,7.6,7.2,7.5,7.7,7.4,7.3,Excellent
tt0221074,Christmas in the Clouds,2001,Comedy,96,USA,Kate Montgomery,Random Ventures,3000000,652,7.0,6.2,6.1,6.8,6.4,6.5,6.1,6.6,6.5,5.3,6.1,7.0,Good
tt0221197,G-Men from Hell,2000,Action,98,USA,Christopher Coppola,Dark Horse Entertainment,6000000,318,5.0,2.7,4.7,5.0,4.6,2.5,4.7,5.0,5.0,6.5,10.0,5.0,Good
tt0221218,The Glass House,2001,Crime,106,USA,Daniel Sackheim,Columbia Pictures,30000000,30264,6.0,6.0,5.7,5.9,5.7,5.9,5.6,5.9,5.9,6.1,5.8,6.0,Good
tt0222167,Lucky 13,2005,Comedy,95,USA,Chris Hall,Cooper/Hall Films,1200000,993,5.0,4.5,4.5,4.6,4.6,4.4,4.6,4.6,4.4,4.6,4.2,4.7,Good
tt0222705,All Over Again,2001,Drama,99,USA,Cleve Nettles,Second Image Studios Inc.,1000000,108,5.0,6.5,4.2,5.6,5.1,5.0,3.4,5.5,6.7,8.0,6.1,8.2,Good
tt0222850,The Broken Hearts Club: A Romantic Comedy,2000,Comedy,94,USA,Greg Berlanti,Banner Entertainment,1000000,6857,7.0,6.8,6.8,7.1,6.9,6.8,6.8,7.1,6.9,6.6,6.8,7.1,Good
tt0223897,Pay It Forward,2000,Drama,123,USA,Mimi Leder,Warner Bros.,40000000,108471,7.0,7.4,7.1,7.0,7.1,7.3,7.0,6.9,7.5,7.7,7.4,7.4,Good
tt0224025,Roomies,2004,Comedy,88,USA,Oliver Robins,Roomies The Movie,400000,992,4.0,4.3,4.1,3.9,4.0,4.2,4.1,3.9,4.5,4.5,4.6,4.0,Bad
tt0225071,Angel Eyes,2001,Drama,102,USA,Luis Mandoki,Franchise Pictures,53000000,21555,6.0,5.8,5.5,5.8,5.5,5.7,5.4,5.7,5.8,6.0,5.6,6.1,Good
tt0226935,Chelsea Walls,2001,Drama,109,USA,Ethan Hawke,Chelsea Walls Inc.,100000,1895,5.0,5.7,5.3,5.0,5.1,4.6,5.3,4.8,5.6,7.0,5.1,6.0,Good
tt0227005,Made,2001,Comedy,95,USA,Jon Favreau,Artisan Entertainment,5000000,16520,7.0,6.4,6.4,6.2,6.4,6.4,6.4,6.2,6.1,5.8,6.1,6.1,Good
tt0227538,Spy Kids,2001,Action,88,USA,Robert Rodriguez,Dimension Films,35000000,101956,6.0,5.6,5.1,5.7,5.3,5.5,5.1,5.7,5.7,5.9,5.3,6.0,Good
tt0228277,Everything Put Together,2000,Drama,87,USA,Marc Forster,Furst Films,100000,638,7.0,5.8,6.3,6.2,6.2,5.7,6.3,6.1,6.5,6.9,6.4,6.7,Good
tt0228333,Ghosts of Mars,2001,Action,98,USA,John Carpenter,Screen Gems,28000000,48965,5.0,4.9,4.8,5.1,4.9,4.9,4.8,5.0,5.0,4.9,4.9,5.4,Good
tt0228750,Proof of Life,2000,Action,135,USA,Taylor Hackford,Castle Rock Entertainment,65000000,53376,6.0,6.5,6.2,6.3,6.2,6.5,6.2,6.3,6.3,6.6,6.2,6.4,Good
tt0229260,Book of Shadows: Blair Witch 2,2000,Adventure,90,USA,Joe Berlinger,Artisan Entertainment,15000000,34360,4.0,3.6,4.0,4.1,3.9,3.5,4.0,4.1,4.1,3.8,4.2,4.2,Bad
tt0230011,Atlantis: The Lost Empire,2001,Animation,95,USA,Gary Trousdale,Walt Disney Feature Animation,120000000,95046,7.0,7.0,6.7,6.5,6.8,6.9,6.6,6.5,7.2,7.4,6.8,6.7,Good
tt0230838,Sweet November,2001,Drama,119,USA,Pat O'Connor,Warner Bros.,40000000,81690,7.0,7.0,6.7,6.3,6.7,6.9,6.7,6.2,6.8,7.0,6.7,6.4,Good
tt0232657,Sleepy Hollow High,2000,Horror,90,USA,Chris Arth,Scorpio Pictures,16500,244,2.0,3.0,2.9,2.4,2.6,2.1,2.7,2.3,4.7,5.6,3.7,5.5,Bad
tt0233142,3000 Miles to Graceland,2001,Action,125,USA,Demian Lichtenstein,Franchise Pictures,62000000,42225,6.0,6.1,6.0,6.0,6.0,6.1,6.0,6.0,6.0,6.1,5.9,5.9,Good
tt0233481,Cookers,2001,Drama,96,USA,Dan Mintz,Pacesetter Productions International,5,776,6.0,6.5,5.6,5.6,5.6,6.4,5.6,5.5,6.1,6.7,5.6,6.6,Good
tt0234215,The Matrix Reloaded,2003,Action,138,USA,Lana Wachowski,Warner Bros.,150000000,488119,7.0,7.3,7.1,7.0,7.2,7.3,7.2,7.0,7.0,7.2,6.9,7.1,Good
tt0234354,Novocaine,2001,Comedy,95,USA,David Atkins,Artisan Entertainment,8000000,10390,6.0,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.9,5.8,5.9,Good
tt0234829,Summer Catch,2001,Comedy,104,USA,Michael Tollin,Warner Bros.,34000000,14654,5.0,5.3,4.9,5.3,5.0,5.3,4.9,5.2,5.0,5.3,4.8,5.3,Good
tt0235048,Wicked Spring,2002,Drama,102,USA,Kevin R. Hershberger,LionHeart FilmWorks,500000,727,2.0,5.0,5.9,5.8,5.6,5.0,5.9,5.6,6.2,4.0,5.0,6.6,Bad
tt0235252,Calling Bobcat,2000,Comedy,91,USA,Paul Kermizian,Six Hundred Films,230000,101,5.0,3.0,5.9,3.4,4.7,4.0,6.0,3.3,2.9,2.0,2.4,4.0,Good
tt0235737,The Salton Sea,2002,Crime,103,USA,D.J. Caruso,Castle Rock Entertainment,18000000,28791,7.0,7.1,7.1,7.0,7.1,7.1,7.1,7.0,7.1,7.1,7.2,7.0,Good
tt0237572,The Pledge,2001,Crime,124,USA,Sean Penn,Morgan Creek Entertainment,35000000,50907,7.0,6.9,6.7,6.9,6.8,6.9,6.7,6.9,6.7,6.7,6.6,7.1,Good
tt0237706,The Sculptress,2000,Horror,101,USA,Ian Merrick,A Plus Entertainment,3000000,179,3.0,2.8,3.7,3.7,3.6,2.0,3.7,3.5,4.0,5.5,3.8,4.4,Bad
